Age_Group,State,Year,Deaths,Population,KFF_opioid_deaths,%_opioid_deaths
0-24,Utah,2012,629,1214959,42.0,6.677265500794912
0-24,Utah,2013,653,1228901,55.0,8.422664624808576
0-24,Utah,2014,676,1237503,36.0,5.325443786982249
0-24,Utah,2015,684,1252818,39.0,5.701754385964912
0-24,Utah,2016,734,1265056,41.0,5.5858310626703
0-24,Utah,2017,725,1272360,43.0,5.931034482758621
0-24,Utah,2018,680,1288772,45.0,6.61764705882353
0-24,Vermont,2017,82,94005,15.0,18.29268292682927
0-24,Virginia,2009,1629,2645013,49.0,3.0079803560466543
0-24,Virginia,2010,1527,2655776,44.0,2.8814669286182055
0-24,Virginia,2011,1664,2667614,72.0,4.326923076923077
0-24,Virginia,2012,1580,2679930,54.0,3.4177215189873418
0-24,Virginia,2013,1492,2693742,59.0,3.9544235924932973
0-24,Virginia,2014,1449,2698496,73.0,5.037957211870255
0-24,Virginia,2015,1547,2693390,91.0,5.88235294117647
0-24,Virginia,2016,1574,2682330,119.0,7.560355781448538
0-24,Virginia,2017,1548,2674111,103.0,6.6537467700258395
0-24,Virginia,2018,1499,2674839,90.0,6.004002668445631
0-24,Washington,2009,1170,2226480,57.0,4.871794871794872
0-24,Washington,2010,1090,2231407,62.0,5.688073394495413
0-24,Washington,2011,1043,2247498,60.0,5.752636625119846
0-24,Washington,2012,1180,2252846,67.0,5.677966101694915
0-24,Washington,2013,1097,2262233,51.0,4.649042844120328
0-24,Washington,2014,1120,2271291,58.0,5.178571428571429
0-24,Washington,2015,1164,2278212,53.0,4.553264604810996
0-24,Washington,2016,1106,2290692,61.0,5.5153707052441225
0-24,Washington,2017,1114,2298685,68.0,6.104129263913824
0-24,Washington,2018,1186,2320731,71.0,5.986509274873524
0-24,West Virginia,2009,442,557059,11.0,2.48868778280543
0-24,West Virginia,2010,425,556417,43.0,10.117647058823529
0-24,West Virginia,2011,418,556291,33.0,7.894736842105263
0-24,West Virginia,2012,414,555180,18.0,4.3478260869565215
0-24,West Virginia,2013,415,553594,32.0,7.710843373493977
0-24,West Virginia,2014,423,550656,32.0,7.5650118203309695
0-24,West Virginia,2015,395,441260,42.0,10.632911392405063
0-24,West Virginia,2016,422,536703,47.0,11.137440758293838
0-24,West Virginia,2017,391,528323,51.0,13.043478260869565
0-24,West Virginia,2018,382,521009,48.0,12.56544502617801
0-24,Wisconsin,2009,1059,1896174,47.0,4.4381491973559966
0-24,Wisconsin,2010,1052,1888748,41.0,3.897338403041825
0-24,Wisconsin,2011,1071,1881672,64.0,5.975723622782446
0-24,Wisconsin,2012,1029,1871626,44.0,4.275996112730807
0-24,Wisconsin,2013,1029,1866759,83.0,8.066083576287658
0-24,Wisconsin,2014,1026,1863513,67.0,6.530214424951267
0-24,Wisconsin,2015,1011,1857995,52.0,5.143422354104846
0-24,Wisconsin,2016,1149,1849554,101.0,8.790252393385552
0-24,Wisconsin,2017,1082,1839857,91.0,8.410351201478743
0-24,Wisconsin,2018,1006,1827868,56.0,5.566600397614314
25-34,Alabama,2009,942,605551,55.0,5.83864118895966
25-34,Alabama,2010,1005,608922,61.0,6.069651741293533
25-34,Alabama,2011,1037,614507,40.0,3.857280617164899
25-34,Alabama,2012,1026,617757,45.0,4.385964912280701
25-34,Alabama,2013,1041,620984,53.0,5.091258405379443
25-34,Alabama,2014,1006,626387,70.0,6.958250497017893
25-34,Alabama,2015,1069,632726,75.0,7.015902712815715
25-34,Alabama,2016,1173,637487,99.0,8.439897698209718
25-34,Alabama,2017,1178,640302,122.0,10.35653650254669
25-34,Alabama,2018,1148,643540,95.0,8.275261324041812
25-34,Alaska,2009,138,98338,14.0,10.144927536231885
25-34,Alaska,2010,130,103125,12.0,9.230769230769232
25-34,Alaska,2012,184,111110,25.0,13.586956521739129
25-34,Alaska,2014,165,118396,17.0,10.303030303030303
25-34,Alaska,2015,182,120486,24.0,13.186813186813188
25-34,Alaska,2016,235,120453,27.0,11.48936170212766
25-34,Alaska,2018,193,118865,14.0,7.253886010362693
25-34,Arizona,2009,1006,859294,133.0,13.220675944333996
25-34,Arizona,2010,1016,856693,138.0,13.582677165354331
25-34,Arizona,2011,976,870723,123.0,12.602459016393441
25-34,Arizona,2012,1078,877831,107.0,9.925788497217068
25-34,Arizona,2013,1100,881828,118.0,10.727272727272727
25-34,Arizona,2014,1076,897745,131.0,12.174721189591079
25-34,Arizona,2015,1181,913645,149.0,12.616426756985605
25-34,Arizona,2016,1322,933128,199.0,15.052950075642965
25-34,Arizona,2017,1357,955894,221.0,16.28592483419307
25-34,Arizona,2018,1450,985845,283.0,19.517241379310345
25-34,Arkansas,2009,586,374133,46.0,7.849829351535837
25-34,Arkansas,2010,578,375892,53.0,9.16955017301038
25-34,Arkansas,2011,604,381792,46.0,7.6158940397351
25-34,Arkansas,2012,591,384233,37.0,6.260575296108291
25-34,Arkansas,2013,594,384032,39.0,6.565656565656567
25-34,Arkansas,2014,591,386530,31.0,5.245346869712352
25-34,Arkansas,2015,586,388958,35.0,5.972696245733788
25-34,Arkansas,2016,631,392755,36.0,5.705229793977813
25-34,Arkansas,2017,614,395464,53.0,8.631921824104234
25-34,Arkansas,2018,620,396588,48.0,7.741935483870968
25-34,California,2009,4188,5279559,295.0,7.04393505253104
25-34,California,2010,3908,5317877,304.0,7.778915046059365
25-34,California,2011,4168,5412367,331.0,7.941458733205374
25-34,California,2012,4270,5482640,313.0,7.330210772833724
25-34,California,2013,4360,5591286,359.0,8.23394495412844
25-34,California,2014,4502,5723386,374.0,8.307418924922256
25-34,California,2015,4816,5835694,390.0,8.098006644518273
25-34,California,2016,5201,5917785,412.0,7.921553547394732
25-34,California,2017,5188,6023779,536.0,10.33153430994603
25-34,California,2018,5359,6043799,610.0,11.382720656838963
